 ,Is there one from last year?,Complete 2024,On Page for Printing?,Dimensions,Frontage,Depth,Interactivity Time/Name Highlight Color,Neigborhood,Tea,Coffee,Sound,Food,Fire,Fire Circle,Kids,Bar,ADA,XXX,UnEvEn GROUND,Trees,RVs,Sound Zone,Sound Zone Data,Make SZ work?,Make SZ work? Data,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,Uneven Ground,Uneven Ground Data,Trees,Trees Data,ADA,ADA Data,Kids v Kids+,Kids,Kids Data,Kids +,Kids+ Reduct,Kids + Data,Bar,Bar Data,XXX,XXX Data,Fire,Fire Data,Fire Circle,Fire Circle Data,Dimensions,Dims 1st,Dims 2nd,Frontage,Depth,SqFt,SqFt,Sound Zone split,,,Food,Coffee,Tea,Sound Size,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Thur Morning,Thur Afternoon,Thur Late Aft,Thur Evening,Thur Late Nigt,Fri Morning,Fri Afternoon,Fri Late Aft,Fri Evening,Fri Late Night,Sat Morn,Sat Afternoon,Sat Late Aft,Sat Even,Sat Late Night,Sun Morn,Sun Aft,Sun Late Aft,Sun Even,Sun Late NIght,Morning,Afternoon,Late Afternoon,Evening,Late Night,Total Shifts,Camp Type,Morning,Afternoon,Late Afternoon,Evening,Late Night,% Morning,% Afternoon,% Late Afternoon,% Evening,% Late Night,Concat,Camp Highlight,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,1st Choice,2nd Choice,3rd Choice,neighborhood
The Teenie Weenie Art Tent,,,,45'x60',45,60,,RS MZ NP ,Tea,Coffee, ,Food,Fire, , , ,ADA, , , ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,3rd Choice,1st Choice,2nd Choice,,,, ,No, ,No,ADA,Yes, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,45'x60',45',60',45,60,2700,2700,Zone 2,2,SZ 2,Food,yes,yes,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,3,4,4,4,3,18,Theme Camp,,,,,,16.67%,22.22%,22.22%,22.22%,16.67%,,,,,3,1,2,,,,RS ,MZ ,NP ,RS MZ NP 
Reading Rainbow,,,,30'x50' (1500 sq. ft.),30,50,,MF FE , , , ,, , ,Kids, , , , , ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,1st Choice,,,,,,, ,No, ,No, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,,,,No,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,20,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,2,1,,,,,,,MF ,FE ,,MF FE 
FryGuy,,,,30'x50' (1500 sq. ft.),30,50,AfternoonLate Afternoon,MZ LB UB , , , ,Food+,Fire, , , , , ,UnEvEn,Trees,1,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,1st Choice,2nd Choice,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 3,3,SZ 3,Food+,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, , ,3,4,4,0,0,11,Theme Camp,,Afternoon,Late Afternoon,,,27.27%,36.36%,36.36%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,,,,1,2,3,,MZ ,LB ,UB ,MZ LB UB 
Kid Bar,,,,40'x60' (2400 sq. ft.),40,60,Late Afternoon,MF UB ,Tea, , ,Food+,Fire, ,Kids, , , ,UnEvEn,Trees,2,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,,1st Choice,,,,,2nd Choice,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No,Fire,Yes, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 1,1,SZ 1,Food+,,yes,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)",Morning (Sunrise-noon),Late Afternoon (4pm-8pm), , ,1,1, , , ,1,1, ,1, , , , , , ,1, , ,1,0,3,2,0,6,Theme Camp,,,Late Afternoon,,,16.67%,0.00%,50.00%,33.33%,0.00%,Late Afternoon,Late Afternoon,,1,,,,,2,,MF ,UB ,,MF UB 
Lil' Hell Bake,,,,30'x30' (900 sq. ft.),30,30,,FE MF RS , , , ,Food,Fire, , , , , ,UnEvEn,Trees,1,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,2nd Choice,,3rd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 1,1,SZ 1,Food,,,No,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,20,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,1,2,,3,,,,,FE ,MF ,RS ,FE MF RS 
Sex Positivity - EveryBody Gets Wet,,,,100'x50' (5000 sq. ft.),100,50,,UB RS MF , , , ,, , , , , ,XXX,UnEvEn, ,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,,2nd Choice,,,1st Choice,,UnEvEn,Yes, ,No, ,No, , ,No, ,,, ,No,XXX,Yes, ,No, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1,1, , ,1,1,1,1, ,1,1,1, , ,1,1, , ,0,4,4,3,1,12,Theme Camp,,,,,,0.00%,33.33%,33.33%,25.00%,8.33%,,,,3,,2,,,1,,UB ,RS ,MF ,UB RS MF 
Black Rock Observatory Art Support Camp,,,,20'x60' (1200 sq. ft.),20,60,Art Support Camp,UB LB , , , ,, , , , , , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,,2nd Choice,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,,,,,,2,1,,UB ,LB ,,UB LB 
Warm Snuggles ,,,,50'x60' (3000 sq. ft.),50,60,,MZ MF RS , , , ,Food,Fire,FireCircle,Kids, , , ,UnEvEn,Trees,0,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,2nd Choice,,3rd Choice,1st Choice,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No,Fire,Yes,FireCircle,Yes,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 3,3,SZ 3,Food,,,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , ,1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1,0,0,4,4,4,12,Theme Camp,,,,,,0.00%,0.00%,33.33%,33.33%,33.33%,,,,2,,3,1,,,,MZ ,MF ,RS ,MZ MF RS 
Acid Drip,,,,20'x60' (1200 sq. ft.),20,60,Late Afternoon,MZ LB UB , , ,Medium,, , , , , , ,UnEvEn, ,0,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,1st Choice,2nd Choice,3rd Choice,,UnEvEn,Yes, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 3,3,SZ 3,,,,Medium,Late Afternoon (4pm-8pm),Late Afternoon (4pm-8pm),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , ,1, , , , ,1, , , ,1,1, , , ,1,1, , ,0,2,4,0,0,6,Theme Camp,,,Late Afternoon,,,0.00%,33.33%,66.67%,0.00%,0.00%,Late Afternoon,Late Afternoon,,,,,1,2,3,,MZ ,LB ,UB ,MZ LB UB 
BowlovFarts of Broken Dreams,,,,30'x50' (1500 sq. ft.),30,50,Evening,FE MF RS , , , ,Food+,Fire, ,Kids, , , ,UnEvEn,Trees,1,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,2nd Choice,,3rd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No,Fire,Yes, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 1,1,SZ 1,Food+,,,No,Evening (8pm-Midnight),Evening (8pm-Midnight),Evening (8pm-Midnight),None, , , ,1, , , , ,1, , , , ,1, , , , , , ,0,0,0,3,0,3,Theme Camp,,,,Evening,,0.00%,0.00%,0.00%,100.00%,0.00%,Evening,Evening,1,2,,3,,,,,FE ,MF ,RS ,FE MF RS 
